Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,ADP,playerid,GP,IDFANGRAPHS,Position,R_z,HR_z,SB_z,RBI_z,OBP_z,SLG_z,z-score,FVARz,SGP,R_sgp,HR_sgp,SB_sgp,RBI_sgp,OBP_sgp,SLG_sgp
Francisco Lindor,NYM,157,679,605,162,35,2,32,100,87,60,105,6,19,6,0.267,0.338,0.49,0.827,0.343,7.3,0.6,5,18,12916,157,12916,SS,1.248996061,0.980823928,1.176990829,0.65135063,-0.169358489,0.423045864,4.311848824,,11.50599333,3.291453769,2.073615874,2.671098415,2.945380916,0.058623069,0.465821292
Carlos Correa,HOU,151,651,571,154,29,1,29,85,104,68,146,5,2,0,0.27,0.349,0.481,0.829,0.347,-0.6,0.6,4.6,123.7,14162,151,14162,SS,0.405967164,0.667158845,-0.737292866,1.517632064,0.197430451,0.247045012,2.29794067,,9.112227155,2.797735704,1.879214386,0.281168254,3.520915118,0.311223177,0.321970516
Trea Turner,WSN,152,658,593,172,34,7,25,105,80,55,115,5,35,8,0.291,0.354,0.494,0.848,0.355,-3.2,4.3,4.3,7.2,16252,152,16252,SS,1.530005694,0.248938733,2.978669602,0.294646511,0.365888801,0.484383725,5.902533066,,13.64845257,3.456026457,1.620012402,4.920444448,2.708396245,0.431333597,0.512239421
Gleyber Torres,NYY,147,637,559,155,27,1,34,90,105,66,127,6,7,2,0.277,0.357,0.51,0.868,0.362,-7.4,-0.2,4.2,68.8,16997,147,16997,SS,0.686976797,1.189933983,-0.17426825,1.568589795,0.44950529,0.719738571,4.440476186,,10.88408556,2.962308392,2.203216866,0.98408889,3.554770071,0.486616758,0.693084579
Xander Bogaerts,BOS,151,651,577,164,38,2,27,93,95,65,118,4,11,2,0.284,0.358,0.495,0.853,0.357,-4.5,1.7,4.2,33.8,12161,151,12161,SS,0.855582576,0.458048789,0.276151443,1.059012481,0.492985558,0.488017724,3.629798571,,10.60583083,3.061052005,1.749613394,1.546425398,3.216220541,0.519736431,0.512783059
Bo Bichette,TOR,149,644,591,167,38,5,25,91,95,44,119,3,27,9,0.282,0.333,0.489,0.822,0.342,0.6,0.9,4.1,24.6,19612,149,19612,SS,0.743178723,0.248938733,2.077830216,1.059012481,-0.324846557,0.395555325,4.199668921,,12.01045652,2.99522293,1.620012402,3.795771431,3.216220541,-0.058871618,0.442100833
Trevor Story,COL,152,658,589,161,35,6,34,100,90,59,172,5,26,8,0.274,0.344,0.525,0.869,0.36,2.5,1.9,3.9,12.7,12564,152,12564,SS,1.248996061,1.189933983,1.965225292,0.804223824,0.033963114,1.019572401,6.261914677,,13.32674108,3.291453769,2.203216866,3.655187304,3.046945775,0.197335887,0.932601478
Marcus Semien,TOR,149,644,568,145,29,3,22,90,73,67,113,2,11,4,0.255,0.334,0.435,0.769,0.327,2.3,0.9,3,128.8,12533,149,12533,SS,0.686976797,-0.06472635,0.276151443,-0.062057609,-0.292360213,-0.52493887,0.019045197,,8.082563697,2.962308392,1.425610913,1.546425398,2.471411573,-0.035935457,-0.287257123
Paul DeJong,STL,149,644,572,141,30,1,26,81,88,54,161,11,5,2,0.247,0.32,0.44,0.76,0.321,4,-0.3,3,225.7,18015,149,18015,SS,0.181159458,0.353493761,-0.399478096,0.702308362,-0.747169028,-0.444200033,-0.353885576,,7.453346761,2.666077553,1.684812898,0.702920635,2.979235869,-0.357041711,-0.222658483
Andrelton Simmons,MIN,136,600,551.938364,151.8716743,30.59229008,2.055056213,9.370192435,69.55659048,62.45543981,37.82594261,60.06165404,4.070822258,10.19089327,3.052487261,0.274888267,0.325120743,0.388977206,0.712981707,0.306,9.7,0.8,2.8,477.6,10847,139.1366475,10847,SS,-0.461982202,-1.385236231,0.185042042,-0.599384475,-0.543499323,-1.259629139,-4.064689327,,5.347860885,2.289423019,0.607193118,1.432677835,2.114425983,-0.224276292,-0.871582778
